"@timestamp",pkttype,"header.manufacturerId"
"Jan 21, 2025 @ 13:07:21.289",vehicleBusStatus,0071008E91
"Jan 21, 2025 @ 13:07:04.836",vehicleBusStatus,0071008512
"Jan 21, 2025 @ 12:56:13.975",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:53:46.261",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:53:41.324",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:49:17.953",vehicleBusStatus,0071008801
"Jan 21, 2025 @ 12:48:39.653",vehicleBusStatus,0071008EA2
"Jan 21, 2025 @ 12:46:33.375",vehicleBusStatus,007100895F
"Jan 21, 2025 @ 12:46:05.534",vehicleBusStatus,0071009189
"Jan 21, 2025 @ 12:43:33.584",vehicleBusStatus,0071008E91
"Jan 21, 2025 @ 12:43:33.557",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 12:43:28.856",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 12:40:13.572",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:40:09.649",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:36:28.671",vehicleBusStatus,0071008860
"Jan 21, 2025 @ 12:33:47.415",vehicleBusStatus,0071008728
"Jan 21, 2025 @ 12:31:45.111",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:31:39.675",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:30:35.163",vehicleBusStatus,007100877F
"Jan 21, 2025 @ 12:27:15.241",vehicleBusStatus,0071008ABB
"Jan 21, 2025 @ 12:23:30.255",vehicleBusStatus,0071009C36
"Jan 21, 2025 @ 12:23:25.208",vehicleBusStatus,0071009C36
"Jan 21, 2025 @ 12:17:59.267",vehicleBusStatus,0071008EA2
"Jan 21, 2025 @ 12:17:58.906",vehicleBusStatus,0071008801
"Jan 21, 2025 @ 12:14:45.990",vehicleBusStatus,0071009C36
"Jan 21, 2025 @ 12:14:41.847",vehicleBusStatus,0071009C36
"Jan 21, 2025 @ 12:14:27.166",vehicleBusStatus,0071008717
"Jan 21, 2025 @ 12:12:32.809",vehicleBusStatus,0071008860
"Jan 21, 2025 @ 12:09:27.509",vehicleBusStatus,0071008AC7
"Jan 21, 2025 @ 12:09:27.497",vehicleBusStatus,0071008AC7
"Jan 21, 2025 @ 12:05:53.872",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:05:49.182",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 12:03:26.016",vehicleBusStatus,0071008ED1
"Jan 21, 2025 @ 11:52:34.126",vehicleBusStatus,0071008EA2
"Jan 21, 2025 @ 11:52:24.919",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 11:52:20.253",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 11:51:53.599",vehicleBusStatus,0071008512
"Jan 21, 2025 @ 11:47:02.595",vehicleBusStatus,007100852C
"Jan 21, 2025 @ 11:45:22.101",vehicleBusStatus,0071008E91
"Jan 21, 2025 @ 11:45:17.104",vehicleBusStatus,0071008E91
"Jan 21, 2025 @ 11:37:59.645",vehicleBusStatus,0071009189
"Jan 21, 2025 @ 11:33:40.669",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 11:33:35.868",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 11:24:44.167",vehicleBusStatus,0071008320
"Jan 21, 2025 @ 11:13:58.531",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 11:13:53.770",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 11:09:47.769",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 11:09:42.419",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 11:04:24.348",vehicleBusStatus,0071008ED1
"Jan 21, 2025 @ 11:04:18.868",vehicleBusStatus,0071008ED1
"Jan 21, 2025 @ 11:00:25.918",vehicleBusStatus,0071009947
"Jan 21, 2025 @ 10:55:42.062",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 10:55:36.990",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 10:51:13.810",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 10:51:08.759",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 10:10:19.117",vehicleBusStatus,0071009947
"Jan 21, 2025 @ 10:10:14.168",vehicleBusStatus,0071009947
"Jan 21, 2025 @ 10:08:43.075",vehicleBusStatus,0071008E91
"Jan 21, 2025 @ 10:03:41.210",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 10:03:36.775",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 09:56:30.956",vehicleBusStatus,007100852C
"Jan 21, 2025 @ 09:56:25.758",vehicleBusStatus,007100852C
"Jan 21, 2025 @ 09:48:17.015",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 09:48:11.853",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 09:41:58.554",vehicleBusStatus,0071009983
"Jan 21, 2025 @ 09:30:40.552",vehicleBusStatus,0071008320
"Jan 21, 2025 @ 09:30:35.506",vehicleBusStatus,0071008320
"Jan 21, 2025 @ 09:20:07.409",vehicleBusStatus,0071009983
"Jan 21, 2025 @ 08:54:24.812",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 08:54:19.848",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 08:49:33.430",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 08:49:27.883",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 08:39:56.910",vehicleBusStatus,0071009947
"Jan 21, 2025 @ 08:39:51.282",vehicleBusStatus,0071009947
"Jan 21, 2025 @ 08:39:29.789",vehicleBusStatus,0071009C36
"Jan 21, 2025 @ 08:39:24.630",vehicleBusStatus,0071009C36
"Jan 21, 2025 @ 07:45:14.526",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 07:45:09.668",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 07:44:12.851",vehicleBusStatus,0071008320
"Jan 21, 2025 @ 07:43:26.633",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 07:43:22.236",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 07:38:27.703",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 07:38:23.059",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 07:08:38.306",vehicleBusStatus,0071008497
"Jan 21, 2025 @ 05:29:30.022",vehicleBusStatus,007100895F
"Jan 21, 2025 @ 05:29:24.441",vehicleBusStatus,007100895F
"Jan 21, 2025 @ 04:41:17.413",vehicleBusStatus,007100895F
"Jan 21, 2025 @ 04:41:12.956",vehicleBusStatus,007100895F
"Jan 21, 2025 @ 04:21:02.217",vehicleBusStatus,007100895F
"Jan 21, 2025 @ 04:20:56.884",vehicleBusStatus,007100895F
"Jan 21, 2025 @ 02:08:41.950",vehicleBusStatus,0071008ABB
"Jan 21, 2025 @ 00:27:15.762",vehicleBusStatus,0071008ABB
"Jan 21, 2025 @ 00:07:31.081",vehicleBusStatus,0071008ABB
"Jan 21, 2025 @ 00:07:26.421",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 23:49:06.940",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 23:49:02.220",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 23:30:03.830",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 23:29:59.809",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 23:07:39.904",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 23:07:34.598",vehicleBusStatus,0071008ABB
"Jan 20, 2025 @ 22:31:45.105",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 22:31:41.721",vehicleBusStatus,0071008E91
