"@timestamp",pkttype,"header.manufacturerId"
"Jan 21, 2025 @ 12:46:33.375",vehicleBusStatus,007100895F
"Jan 21, 2025 @ 12:43:33.557",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 12:43:28.856",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 12:14:27.166",vehicleBusStatus,0071008717
"Jan 21, 2025 @ 11:47:02.595",vehicleBusStatus,007100852C
"Jan 21, 2025 @ 10:03:41.210",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 10:03:36.775",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 09:56:30.956",vehicleBusStatus,007100852C
"Jan 21, 2025 @ 09:56:25.758",vehicleBusStatus,007100852C
"Jan 21, 2025 @ 09:48:17.015",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 09:48:11.853",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 08:54:24.812",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 08:54:19.848",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 08:49:33.430",vehicleBusStatus,0071009D62
"Jan 21, 2025 @ 08:49:27.883",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 21:40:44.676",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 21:40:39.364",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 21:20:38.078",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 21:00:57.330",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 21:00:51.514",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 20:53:43.769",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 20:53:38.862",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 20:00:17.105",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 20:00:14.520",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 19:30:29.358",vehicleBusStatus,0071008728
"Jan 20, 2025 @ 19:21:44.920",vehicleBusStatus,0071008860
"Jan 20, 2025 @ 19:21:40.326",vehicleBusStatus,0071008860
"Jan 20, 2025 @ 19:11:45.208",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 19:11:39.729",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 19:09:42.247",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 19:09:37.490",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 19:05:26.116",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 19:05:21.326",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 18:53:21.425",vehicleBusStatus,0071008728
"Jan 20, 2025 @ 18:35:44.728",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 18:35:40.052",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 18:32:46.700",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 18:32:41.445",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 18:31:53.463",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 18:31:48.817",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 18:28:23.937",vehicleBusStatus,0071008728
"Jan 20, 2025 @ 18:24:46.453",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 18:04:50.526",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 18:04:45.262",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 18:03:50.883",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 17:53:36.347",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 17:33:48.682",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 17:33:43.358",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 17:31:40.713",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 17:31:35.470",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 16:56:27.617",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 16:33:53.019",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 16:29:37.133",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 16:18:13.563",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 16:18:09.268",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 16:14:49.142",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 15:50:13.182",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 15:36:24.702",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 15:36:19.633",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 14:51:34.505",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 14:51:29.718",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 14:20:10.562",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 14:15:16.216",vehicleBusStatus,0071008728
"Jan 20, 2025 @ 14:11:32.760",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 14:11:27.869",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 14:05:38.242",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 14:05:33.457",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 13:56:53.102",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 13:56:48.192",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 13:43:14.401",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 13:29:55.258",vehicleBusStatus,0071009189
"Jan 20, 2025 @ 13:18:44.201",vehicleBusStatus,0071009189
"Jan 20, 2025 @ 12:32:30.114",vehicleBusStatus,007100895F
"Jan 20, 2025 @ 12:30:38.783",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 12:27:32.879",vehicleBusStatus,007100895F
"Jan 20, 2025 @ 12:03:37.145",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 12:03:32.544",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 10:38:52.834",vehicleBusStatus,0071008728
"Jan 20, 2025 @ 09:20:37.701",vehicleBusStatus,0071008ED1
"Jan 20, 2025 @ 06:26:02.994",vehicleBusStatus,007100895F
"Jan 20, 2025 @ 06:25:57.666",vehicleBusStatus,007100895F
"Jan 19, 2025 @ 21:20:38.456",vehicleBusStatus,0071008ED1
"Jan 19, 2025 @ 19:23:08.519",vehicleBusStatus,0071008ED1
"Jan 19, 2025 @ 19:12:46.638",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 19:12:41.664",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 19:08:35.237",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 19:08:30.299",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 19:02:57.652",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 19:02:52.978",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 19:00:47.914",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 19:00:43.648",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 18:53:28.063",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 18:53:23.003",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 18:48:07.150",vehicleBusStatus,0071008ED1
"Jan 19, 2025 @ 18:48:02.255",vehicleBusStatus,0071008ED1
"Jan 19, 2025 @ 18:07:17.943",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 18:07:12.135",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 15:14:04.506",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 13:53:34.703",vehicleBusStatus,007100877F
"Jan 19, 2025 @ 13:53:30.093",vehicleBusStatus,007100877F
"Jan 17, 2025 @ 20:00:18.010",vehicleBusStatus,0071008A28
"Jan 17, 2025 @ 19:40:52.597",vehicleBusStatus,0071008ED1
"Jan 17, 2025 @ 19:40:47.626",vehicleBusStatus,0071008ED1
"Jan 17, 2025 @ 19:37:46.448",vehicleBusStatus,00710096A1
"Jan 17, 2025 @ 19:20:51.055",vehicleBusStatus,007100842A
"Jan 17, 2025 @ 19:03:43.074",vehicleBusStatus,0071008ED1
"Jan 17, 2025 @ 18:12:50.335",vehicleBusStatus,0071008DBD
"Jan 17, 2025 @ 18:12:45.185",vehicleBusStatus,0071008DBD
"Jan 17, 2025 @ 18:12:07.747",vehicleBusStatus,0071008DBD
"Jan 17, 2025 @ 17:43:42.550",vehicleBusStatus,0071009D62
"Jan 17, 2025 @ 16:21:44.361",vehicleBusStatus,00710082B0
"Jan 17, 2025 @ 16:20:21.593",vehicleBusStatus,0071008ED1
"Jan 17, 2025 @ 16:18:00.474",vehicleBusStatus,00710082B0
"Jan 17, 2025 @ 15:59:35.969",vehicleBusStatus,00710096A1
"Jan 17, 2025 @ 15:56:30.092",vehicleBusStatus,007100842A
"Jan 17, 2025 @ 15:39:54.353",vehicleBusStatus,0071009947
"Jan 17, 2025 @ 15:36:12.600",vehicleBusStatus,007100842A
"Jan 17, 2025 @ 15:24:00.196",vehicleBusStatus,0071009947
"Jan 17, 2025 @ 15:13:20.330",vehicleBusStatus,007100877F
"Jan 17, 2025 @ 15:13:15.709",vehicleBusStatus,007100877F
"Jan 17, 2025 @ 14:44:02.207",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 14:36:10.959",vehicleBusStatus,0071009947
"Jan 17, 2025 @ 14:36:06.089",vehicleBusStatus,0071009947
"Jan 17, 2025 @ 13:31:05.008",vehicleBusStatus,0071009189
"Jan 17, 2025 @ 13:12:33.668",vehicleBusStatus,007100842A
"Jan 17, 2025 @ 12:09:39.797",vehicleBusStatus,0071009189
"Jan 17, 2025 @ 12:09:34.386",vehicleBusStatus,0071009189
"Jan 17, 2025 @ 11:40:25.532",vehicleBusStatus,0071009D62
"Jan 17, 2025 @ 11:37:11.025",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 11:34:43.943",vehicleBusStatus,0071009D62
"Jan 17, 2025 @ 11:34:39.631",vehicleBusStatus,0071009D62
"Jan 17, 2025 @ 11:33:25.177",vehicleBusStatus,0071009D62
"Jan 17, 2025 @ 10:57:52.439",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 10:57:47.830",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 10:16:04.420",vehicleBusStatus,0071009D62
"Jan 17, 2025 @ 09:56:18.263",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 09:56:13.584",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 09:27:06.297",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 09:27:01.417",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 09:24:15.662",vehicleBusStatus,0071009D62
"Jan 17, 2025 @ 09:03:00.955",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 09:02:56.152",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 08:38:59.362",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 06:36:48.880",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 03:00:18.359",vehicleBusStatus,007100895F
"Jan 17, 2025 @ 03:00:13.359",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 21:44:03.614",vehicleBusStatus,0071009C36
"Jan 16, 2025 @ 21:26:28.205",vehicleBusStatus,0071008A20
"Jan 16, 2025 @ 20:18:57.194",vehicleBusStatus,007100852C
"Jan 16, 2025 @ 19:46:20.273",vehicleBusStatus,00710096A1
"Jan 16, 2025 @ 19:25:32.957",vehicleBusStatus,0071008A30
"Jan 16, 2025 @ 19:21:41.589",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 19:21:36.051",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 18:54:42.473",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 18:54:37.317",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 18:51:09.253",vehicleBusStatus,0071009D62
"Jan 16, 2025 @ 18:50:16.158",vehicleBusStatus,0071009983
"Jan 16, 2025 @ 18:18:44.017",vehicleBusStatus,0071009C36
"Jan 16, 2025 @ 18:12:06.582",vehicleBusStatus,0071009C36
"Jan 16, 2025 @ 18:09:36.761",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 18:09:31.845",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 17:52:53.170",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 17:52:47.844",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 17:46:16.503",vehicleBusStatus,00710096A1
"Jan 16, 2025 @ 17:06:44.982",vehicleBusStatus,00710096A1
"Jan 16, 2025 @ 16:03:23.872",vehicleBusStatus,0071009C36
"Jan 16, 2025 @ 16:02:25.847",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 16:02:20.786",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 15:21:55.699",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 15:13:08.151",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 14:57:46.597",vehicleBusStatus,0071009C36
"Jan 16, 2025 @ 14:37:21.672",vehicleBusStatus,0071009D62
"Jan 16, 2025 @ 14:33:24.573",vehicleBusStatus,00710096A1
"Jan 16, 2025 @ 14:21:06.939",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 14:21:01.220",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 14:08:14.761",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 14:08:09.691",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 14:03:32.832",vehicleBusStatus,00710096A1
"Jan 16, 2025 @ 13:57:36.926",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 13:57:31.739",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 13:20:16.456",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 13:20:11.444",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 12:46:32.234",vehicleBusStatus,0071009D62
"Jan 16, 2025 @ 12:45:38.206",vehicleBusStatus,0071009983
"Jan 16, 2025 @ 12:45:36.143",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 12:45:31.043",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 12:37:06.401",vehicleBusStatus,0071008A30
"Jan 16, 2025 @ 12:05:48.327",vehicleBusStatus,0071009D62
"Jan 16, 2025 @ 11:53:35.985",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 11:53:19.284",vehicleBusStatus,0071009983
"Jan 16, 2025 @ 11:52:40.733",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 11:45:11.259",vehicleBusStatus,0071009983
"Jan 16, 2025 @ 11:27:52.625",vehicleBusStatus,0071008A30
"Jan 16, 2025 @ 11:09:35.258",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 11:09:29.968",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 11:06:23.974",vehicleBusStatus,0071009189
"Jan 16, 2025 @ 10:45:45.636",vehicleBusStatus,0071008A30
"Jan 16, 2025 @ 10:45:41.449",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 10:45:36.854",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 08:43:53.444",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 08:43:47.920",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 08:26:15.553",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 08:26:10.731",vehicleBusStatus,007100877F
"Jan 16, 2025 @ 08:05:28.737",vehicleBusStatus,0071009D62
"Jan 16, 2025 @ 06:37:28.401",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 05:30:15.884",vehicleBusStatus,007100895F
"Jan 16, 2025 @ 05:30:10.440",vehicleBusStatus,007100895F
"Jan 15, 2025 @ 23:52:40.624",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 21:26:01.869",vehicleBusStatus,0071008A20
