Vehicle Number,Serial Number,DSN,Last Video Date,Last Online Date,Last Ignition Date,Slot 1,Slot 2,Slot 3,Slot 4,Camera Issue Detected,Health Alert,Health Status
211903,0071009B33,23023520,2024-11-15,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
252403,007100846B,23024556,2024-11-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
252402,0071008F01,23024555,2024-11-17,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
211902,0071008332,23023451,2024-11-12,2024-11-18,2024-11-17,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312213,007100877F,23024619,2024-11-16,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312211,0071008DBD,23024559,2024-11-12,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Not Healthy,The DVR may be offline.
212005,0071009C60,23023533,,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212007,0071008728,23023509,2024-09-25,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
211603,00710080D0,23024617,2024-11-16,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212210,0071008512,23023122,2024-08-28,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312207,0071008497,23024558,2024-11-13,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312209,0071008860,23023448,2024-09-30,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312214,0071008E91,23023437,2024-11-14,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
312220,0071008801,23023435,2024-11-07,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
492101,0071008887,12023501,2024-11-08,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212101,0071008876,23023447,2024-09-25,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212009,00710090CA,23023126,2024-10-24,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
212205,0071008A30,23023523,2024-11-18,2024-11-18,2024-11-18,Healthy,Healthy,No SD Card,No SD Card,,Healthy,
